프로젝트명,InBox,문서,분류,상태,선행 작업,시작일,종료일,진행률,진행율,체크박스,통합 지표,할일,후속 작업
📊 프랜차이즈 법률 리포트 자동화,,,개발,대기 중,,2027년 3월 1일,2027년 6월 30일,작업 없음,0/0,No,,,
🏢 프랜차이즈 박람회 참가 준비,,,기획,대기 중,,2026년 10월 1일,2026년 12월 31일,작업 없음,0/0,No,,,
📰 PR 캠페인 (언론 보도 5건 이상),,,운영,대기 중,,2026년 7월 1일,2026년 10월 31일,작업 없음,0/0,No,,,
👨‍⚖️ 변호사 파트너 네트워크 구축,,,기획,대기 중,,2026년 8월 1일,2026년 11월 30일,작업 없음,0/0,No,,,
🎓 프랜차이즈 경영 아카데미 론칭,,,기획,대기 중,,2026년 4월 1일,2027년 12월 31일,작업 없음,0/0,No,,,
🔍 Phase 3 회고 & Phase 4 전략 수립,,,기획,대기 중,,2027년 12월 15일,2027년 12월 31일,작업 없음,0/0,No,,,
"🏆 1,000개사 달성 (Phase 3 완료)",,,운영,대기 중,,2027년 1월 1일,2027년 12월 31일,작업 없음,0/0,No,,,
💬 고객 커뮤니티 플랫폼 구축,,,개발,대기 중,,2027년 7월 1일,2027년 10월 31일,작업 없음,0/0,No,,,
💻 SaaS 플랫폼 MVP 개발,,,개발,대기 중,,2028년 1월 1일,2028년 6월 30일,작업 없음,0/0,No,,,
🔗 변호사 매칭 시스템 구축,,,개발,대기 중,,2028년 4월 1일,2028년 8월 31일,작업 없음,0/0,No,,,
🎯 업종별 특화 서비스 패키지 개발,,,기획,대기 중,,2026년 2월 10일,2027년 8월 31일,작업 없음,0/0,No,,,
🗺️ 전국 프랜차이즈 박람회 순회,,,운영,대기 중,,2027년 3월 1일,2027년 12월 31일,작업 없음,0/0,No,,,
💡 경쟁사 비교표 제작,,,기획,대기 중,,2026년 2월 8일,2026년 2월 12일,작업 없음,0/0,No,,,
📅 Calendly 미팅 예약 시스템 세팅,,,개발,대기 중,,2026년 2월 8일,2026년 2월 10일,작업 없음,0/0,No,,,
💰 월간 매출 분석 대시보드 구축,,,개발,대기 중,,2026년 2월 15일,2026년 2월 28일,작업 없음,0/0,No,,,
🔄 http://Make.com 자동화 시나리오 구축,,,개발,대기 중,,2026년 2월 15일,2026년 2월 28일,작업 없음,0/0,No,,,
📊 CAC/LTV 추적 시스템 구축,,,개발,대기 중,,2026년 3월 1일,2026년 3월 20일,작업 없음,0/0,No,,,
🎯 IBS 시너지 채널 구축 (로비스/변닷컴 연계),,,기획,대기 중,,2026년 4월 1일,2026년 3월 31일,작업 없음,0/0,No,,,
📝 계약서 표준안 작성,,,기획,대기 중,,2026년 2월 7일,2026년 2월 14일,작업 없음,0/0,No,,,
"👑 2,000개사 달성 (Phase 4 완료)",,,운영,대기 중,,2028년 1월 1일,2028년 12월 31일,작업 없음,0/0,No,,,
📞 고객 응대 매뉴얼 & 스크립트 정리,,,운영,대기 중,,2026년 2월 10일,2026년 2월 20일,작업 없음,0/0,No,,,
,,,,,,,,작업 없음,0/0,No,,,
🎯 영업→계약 전체 프로세스 | 호식이 2마리 치킨 시뮬레이션,,,기획,진행중,,2026년 2월 9일,2026년 2월 28일,작업 없음,0/0,No,,,
"프랜차이즈 법률지원 패키지 상품정의서 v3.0 (AI-Parsable) ",,,기획,,,,,작업 없음,0/0,No,,,
,,,기획,,,,,작업 없음,0/0,No,,,
